NAME,RCH,GIS,MON,AREAkm2,FLOW_INcms,FLOW_OUTcms,EVAPcms,TLOSScms,SEDINtons,SEDOUTtons,SEDCONCmg/L,ORGNINkg,ORGNOUTkg,ORGPINkg,ORGP_OUTkg,NO3_INkg,NO3_OUTkg,NH4_INkg,NH4_OUTkg,NO2_INkg,NO2_OUTkg,MINP_INkg,MINP_OUTkg,CHLA_INkg,CHLA_OUTkg,CBOD_INkg,CBOD_OUTkg,DISOX_INkg,DISOX_OUTkg,SOLPST_INmg,SOLPST_OUTmg,SORPST_INmg,SORPST_OUTmg,REACTPSTmg,VOLPSTmg,SETTLPSTmg,RESUSP_PSTmg,DIFFUSEPSTmg,REACBEDPSTmg,BURYPSTmg,BED_PSTmg,BACTP_OUTct,BACTLP_OUTct,CMETAL#1kg,CMETAL#2kg,CMETAL#3kg,TOT_Nkg,TOT_Pkg,NO3ConcMg/l,WTMPdegc
REACH,39,0,5,29.1,0.0211,0.0232,0.00142,0.0,61.5,46.2,66.8,426.0,418.0,152.0,134.0,12.8,14.8,0.0,46.2,0.0,2.82,0.778,12.3,17.0,0.0,0.0,1130.0,648.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,146.0,0.0,0.0
REACH,43,0,5,19.5,0.00189,0.00192,0.00022,0.0,5.91e-08,0.0,0.0,30.1,36.4,10.8,13.0,1.09,1.11,0.0,0.0728,0.0,0.000318,0.0367,0.193,1.16,0.0,0.0,499.0,54.2,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,13.2,0.0,0.0
REACH,2,0,6,28.3,0.171,0.169,0.000952,0.0,4200.0,3740.0,1280.0,4410.0,4230.0,1610.0,1500.0,10.5,9.42,0.0,15.0,0.0,0.242,4.34,17.8,176.0,68.6,188000.0,139000.0,706.0,77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4250.0,1520.0,0.0,0.0
REACH,8,0,6,109.0,0.0795,0.0715,0.00565,0.0,1170.0,725.0,625.0,1810.0,1310.0,582.0,349.0,3.42,0.89,0.0,0.0397,0.0,0.00307,1.66,28.0,71.7,0.0,63200.0,12700.0,832.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.0,377.0,0.0,0.0
REACH,11,0,6,173.0,0.625,0.623,0.000869,0.0,310.0,107.0,14.8,14000.0,13800.0,4670.0,4580.0,30.8,30.6,73.6,102.0,1.06,2.13,367.0,426.0,7.13,5.76,249000.0,231000.0,366.0,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,5010.0,0.0,0.0
REACH,15,0,6,58.8,0.000834,0.0,0.000834,0.0,5.37e-08,0.0,0.0,0.000104,0.0,0.000242,0.0,0.354,0.0,0.0,0.0,0.0,0.0,7.99e-05,0.0,1.31e-12,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACH,28,0,6,90.7,0.227,0.207,0.00929,0.0,1810.0,1020.0,257.0,1820.0,1210.0,629.0,323.0,5.39,30.4,0.0,347.0,0.0,65.8,4.39,68.1,72.7,0.0,96000.0,9710.0,2700.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0,391.0,0.0,0.0
REACH,33,0,6,126.0,0.334,0.331,0.00312,0.0,4750.0,60.7,10.2,3240.0,3100.0,1050.0,982.0,9.9,10.5,140.0,229.0,5.67,12.5,22.3,64.1,41.9,19.7,222000.0,173000.0,602.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350.0,1050.0,0.0,0.0
REACH,38,0,6,50.6,0.0535,0.0515,0.00203,0.0,566.0,502.0,564.0,420.0,388.0,155.0,136.0,1.8,1.22,0.0,0.684,0.0,0.0893,1.04,4.36,16.7,1.34,31800.0,19900.0,303.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,141.0,0.0,0.0
REACH,39,0,6,29.1,0.00101,0.000164,0.00085,0.0,1.6,0.00602,8.02,2.78,0.167,0.987,0.0382,0.457,0.0943,0.0,0.1,0.0,0.0438,0.00429,0.00388,0.0509,0.0,62.7,0.0,23.4,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.0421,0.0,0.0
REACH,43,0,6,19.5,0.000683,0.000501,0.000181,0.0,4.2,3.72,464.0,2.49,1.88,0.89,0.641,0.323,0.233,0.0,0.0327,0.0,0.0042,0.00206,0.00786,0.0755,0.0,176.0,91.6,14.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.649,0.0,0.0
REACH,2,0,7,28.3,0.898,0.894,0.00319,0.0,23900.0,21500.0,2470.0,23100.0,22300.0,8450.0,7930.0,25.4,21.8,0.0,29.0,0.0,0.171,21.8,94.6,924.0,554.0,1070000.0,815000.0,7930.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22400.0,8030.0,0.0,0.0
REACH,8,0,7,109.0,2.49,2.47,0.0171,0.0,42700.0,34700.0,1990.0,61600.0,56600.0,20600.0,17700.0,107.0,72.0,0.0,8.63,0.0,0.461,61.9,496.0,2460.0,643.0,1900000.0,1170000.0,29400.0,6670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56700.0,18200.0,0.0,0.0
REACH,11,0,7,173.0,4.54,4.53,0.0028,0.0,15500.0,1590.0,52.2,104000.0,103000.0,35500.0,35200.0,128.0,128.0,5370.0,5830.0,72.5,80.8,2050.0,2310.0,1580.0,1500.0,2410000.0,2320000.0,4120.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109000.0,37500.0,0.0,0.0
